B,p10,MinitMniintmax_LC,skew,CV_LC,mad,
0.5,0.2,0.5,0.01,5.0879e+44,2.1418,0.43588,2.7835e+43
0.5,0.2,0.5,0.1,5.1315e+44,2.2291,0.44776,2.5835e+43
0.5,0.2,0.5,0.3,5.2119e+44,2.2292,0.44982,2.8549e+43
0.5,0.2,0.5,0.5,5.2778e+44,2.2282,0.45111,2.8918e+43
0.5,0.2,0.5,0.8,5.3598e+44,2.2258,0.45243,2.9951e+43
0.5,0.2,1,0.01,4.2269e+44,2.3481,0.42307,1.2049e+43
0.5,0.2,1,0.1,4.2669e+44,2.3343,0.42377,1.332e+43
0.5,0.2,1,0.3,4.3436e+44,2.307,0.4242,1.3824e+43
0.5,0.2,1,0.5,4.4098e+44,2.2831,0.42415,1.5217e+43
0.5,0.2,1,0.8,4.4958e+44,2.2521,0.42382,1.7619e+43
0.5,0.2,3,0.01,2.7565e+44,2.8424,0.4308,-2.0191e+43
0.5,0.2,3,0.1,2.7903e+44,2.8613,0.42826,-1.9386e+43
0.5,0.2,3,0.3,2.8562e+44,2.9046,0.42204,-1.7606e+43
0.5,0.2,3,0.5,2.9139e+44,2.9411,0.41603,-1.6749e+43
0.5,0.2,3,0.8,2.9898e+44,2.9833,0.40776,-1.5068e+43
0.5,0.2,5,0.01,2.1203e+44,2.1654,0.49513,-3.5523e+43
0.5,0.2,5,0.1,2.1501e+44,2.2106,0.49017,-3.4831e+43
0.5,0.2,5,0.3,2.209e+44,2.3152,0.47884,-3.293e+43
0.5,0.2,5,0.5,2.2607e+44,2.4181,0.46808,-3.1639e+43
0.5,0.2,5,0.8,2.3286e+44,2.5663,0.4533,-2.9447e+43
0.5,0.2,10,0.01,1.3862e+44,1.591,0.61101,-7.8318e+42
0.5,0.2,10,0.1,1.4102e+44,1.5971,0.60669,-8.5216e+42
0.5,0.2,10,0.3,1.4568e+44,1.6164,0.59608,-1.0079e+43
0.5,0.2,10,0.5,1.4979e+44,1.6409,0.58525,-1.1597e+43
0.5,0.2,10,0.8,1.5523e+44,1.685,0.56941,-1.3748e+43
5.5,0.2,0.5,0.01,7.6622e+44,5.955,1.8526,9.7938e+43
5.5,0.2,0.5,0.1,7.8883e+44,6.0667,1.8689,9.9631e+43
5.5,0.2,0.5,0.3,8.3982e+44,6.3167,1.9049,1.031e+44
5.5,0.2,0.5,0.5,8.8748e+44,6.555,1.9378,1.0618e+44
5.5,0.2,0.5,0.8,9.5279e+44,6.8859,1.9817,1.1024e+44
5.5,0.2,1,0.01,3.5021e+44,3.2679,1.3861,6.4207e+43
5.5,0.2,1,0.1,3.6176e+44,3.3358,1.4016,6.5692e+43
